School|Prof Name|Course Name|Course ID
SOE|Ho Kong Weng|Introductory Economics|ECON001
SOE|Yumi Koh|Introductory Economics|ECON001
SOE|Larry Haverkamp|Introductory Economics|ECON001
SOE|Wong Fot Chyi|Introductory Economics|ECON001
SOE|Huang Fali|Intermediate Microeconomics|ECON101
SOE|Lona Hyojung Lee|Intermediate Microeconomics|ECON101
SOE|Zhang Yichong|Introduction to Econometrics|ECON107
SOE|Toh Mun Heng|Introduction to Econometrics|ECON107
SOE|Yap Wei Yim|Maritime Economics & Shipping Finance|ECON131
SOE|Yap Wei Yim|Port Economics & Management|ECON132
SOE|Madhav Aney|Development Economics|ECON204
SOE|Shurojit Chatterji|Game Theory|ECON206
SOE|Jungho Lee|Labour Economics|ECON209
SOE|Hoon Hian Teck|Monetary Economics|ECON210
SOE|Christine Ho|Public Sector Economics|ECON211
SOE|Kim Seonghoon|Health Economics|ECON215
SOE|Jeslyn Tan|Economics of Ageing|ECON216
SOE|Hoon Hian Teck|Economic Growth|ECON220
SOE|Jessica Sun Ya|Health Systems and Policy|ECON225
SOE|Hsu Wen-Tai|Urban Economics and Policy|ECON226
SOE|Anthony Tay|Economic Forecasting|ECON233
SOE|Ho Kong Weng|Family & Society: Econ Theories & Prac|ECON240
SOE|Xue Jingyi|Strategic Thinking|ECON241
SOE|Ismail Baydur|Advanced Macroeconomics|ECON237
SOE|Tse Yiu Kuen|Financial Mathematics|STAT203
SOE|Kwong Koon Shing|Introductory Statistics|STAT101
SOE|Liu Shew Fan|Introductory Statistics|STAT101
SOE|Rosie Ching|Introductory Statistics|STAT101
SOE|Wu Zhengxiao|Introductory Statistics|STAT101
SOE|Raymond Teo|Introductory Statistics|STAT101
SOE|Yeo Keng Leong|Introductory Statistics|STAT101
SOE|Chow Hwee Kwan|Introduction to Statistical Theory|STAT151
SOE|Wu Zhengxiao|Survey Methods|STAT204
SOE|Kwong Koon Shing|Life Contingent Risks|STAT310
SOE|Eric Seah|Quantitative Risk Analysis|STAT313
SOE|Gea Myoung Lee|Intermediate Mathematics for Economics|ECON205
SOE|Tomoki Fujii|Economic Development in Asia|ECON118
SOE|Sunha Myong|Economic Development in Asia|ECON118
SOE|Hong Bei|Economics of Globalisation|ECON113
SOE|Tan Kim Song|Economics of Globalisation|ECON113
SOE|Tan Swee Liang|Economics of Globalisation|ECON113
SOE|Huynh Bao Tan|Economics of Globalisation|ECON113
SOE|Lam San Ling|Economics of Globalisation|ECON113
SOE|Augustine Tan|Economics of Globalisation|ECON113
SOE|Low Aik Meng|Scholars Study Mission|IDIS300
SOSS|Tan Sor Hoon|Analytical Skills|IDIS001
SOSS|Elena Ziliotti|Analytical Skills|IDIS001
SOSS|Steven Burik|Critical Thinking in the Real World|IDIS002
SOSS|Matthew Hammerton|Critical Thinking in the Real World|IDIS002
SOSS|Sovan Patra|Critical Thinking in the Real World|IDIS002
SOSS|Ivy Lau|Introduction to Psychology|PSYC001
SOSS|Andree Hartanto|Introduction to Psychology|PSYC001
SOSS|Jacinth Tan|Introduction to Psychology|PSYC001
SOSS|Devin Joshi|Introduction to Political and Policy Studies|POSC003
SOSS|Colm Fox|Introduction to Political and Policy Studies|POSC003
SOSS|Nafis Hanif|Understanding Societies|SOCG001
SOSS|Aliya Rao|Understanding Societies|SOCG001
SOSS|Hiro Saito|Understanding Societies|SOCG001
SOSS|Jacob Ricks|Introduction to Public Policy|POSC101
SOSS|Kim Inwook|World Politics|POSC103
SOSS|Devin Joshi|Comparing Political Systems|POSC203
SOSS|Yeo Lay Hwee|European Union Politics|POSC211
SOSS|Jacob Ricks|Politics of South East Asia|POSC213
SOSS|Onur Ulas Ince|Global Political Economy|POSC218
SOSS|Onur Ulas Ince|Political Theory|POSC219
SOSS|Kim Inwook|International Relations of East Asia|POSC220
SOSS|Darlene Espena|Special Topics in Political Issues|POSC306
SOSS|John Donaldson|Development, Underdevelopment and Poverty|POSC310
SOSS|Andree Hartanto|Cognitive Psychology|PSYC103
SOSS|Yang Hwajin|Developmental Psychology|PSYC104
SOSS|Cheng Chi-Ying|Psychology of Individual Differences|PSYC107
SOSS|Norman Li|Social Psychology|PSYC108
SOSS|Kimin Eom|Social Psychology|PSYC108
SOSS|Kenneth Tan|Social Psychology|PSYC108
SOSS|Grace Park|Psychology of Group Processes and Decision-Making|PSYC109
SOSS|Andree Hartanto|Psychology Research Methods I|PSYC110
SOSS|Brandon Koh|Psychology Research Methods I|PSYC110
SOSS|Tsai Ming-Hong|Psychology of Reasoning and Thinking|PSYC204
SOSS|Norman Li|Evolutionary Psychology|PSYC205
SOSS|Angela Leung|Psychology of Motivation|PSYC207
SOSS|William Tov|Psychology Research Methods II|PSYC208
SOSS|Angela Leung|Psychology Study Mission: Culture and Creativity|PSYC307
SOSS|Cheng Chi-Ying|Psychology Study Mission: Culture and Creativity|PSYC307
SOSS|Paulin Straughan|Research Methods in Sociology and Political Science|IDIS100
SOSS|Michael Genkin|Research Methods in Sociology and Political Science|IDIS100
SOSS|Ijlal Naqvi|Contemporary South Asian Societies|SOCG109
SOSS|Yasmin Ortiga|Social Stratification and Inequality|SOCG201
